data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"13/09/2024";"03:48:33";"79";"Sem vítima";"769,250";"BR-40/MG";"Crescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"13/09/2024";"04:00:51";"81";"Com vítima";"632,750";"BR-40/MG";"Crescente";"Atropelamento de pedestre";1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"14/09/2024";"05:55:47";"34";"Com vítima";"567,227";"BR-40/MG";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"14/09/2024";"05:59:36";"35";"Sem vítima";"547,678";"BR-40/MG";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"14/09/2024";"06:45:03";"38";"Sem vítima";"633,350";"BR-40/MG";"Decrescente";"Colisão lateral no mesmo sentido";0;0;1;1;0;0;0;0;0;0;2;0;0;0;0
"14/09/2024";"09:20:36";"46";"Sem vítima";"586,800";"BR-40/MG";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"14/09/2024";"02:58:38";"75";"Sem vítima";"618,620";"BR-40/MG";"Crescente";"Colisão transversal";1;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"14/09/2024";"04:37:28";"84";"Com vítima";"556,691";"BR-40/MG";"Decrescente";"Colisão traseira";1;0;0;1;0;0;0;0;0;0;2;1;0;0;0
"14/09/2024";"04:51:06";"88";"Sem vítima";"574,113";"BR-40/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14/09/2024";"06:44:08";"96";"Com vítima";"642,210";"BR-40/MG";"Decrescente";"Colisão transversal";1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"15/09/2024";"02:35:27";"16";"Com vítima";"722,630";"BR-40/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;4;0;0;1
"15/09/2024";"04:43:47";"21";"Sem vítima";"653,100";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"15/09/2024";"05:46:19";"25";"Sem vítima";"618,250";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"15/09/2024";"01:28:07";"55";"Sem vítima";"741,300";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"15/09/2024";"03:52:33";"66";"Com vítima";"747,250";"BR-40/MG";"Crescente";"Atropelamento de pedestre";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"16/09/2024";"03:23:11";"20";"Com vítima";"565,929";"BR-40/MG";"Decrescente";"Colisão frontal";3;0;0;0;0;0;0;0;0;0;1;2;0;0;0
"16/09/2024";"03:59:07";"22";"Com vítima";"717,200";"BR-40/MG";"Decrescente";"Choque";1;0;1;0;0;0;0;0;0;0;0;2;0;0;0
"16/09/2024";"12:51:41";"67";"Com vítima";"589,200";"BR-40/MG";"Decrescente";"Colisão transversal";1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"16/09/2024";"01:54:48";"74";"Sem vítima";"589,200";"BR-40/MG";"Decrescente";"Tombamento";0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
"17/09/2024";"08:20:41";"63";"Sem vítima";"664,000";"BR-40/MG";"Decrescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"17/09/2024";"09:14:11";"69";"Sem vítima";"640,300";"BR-40/MG";"Decrescente";"Choque";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"17/09/2024";"10:53:37";"6";"Com vítima";"741,500";"BR-40/MG";"Decrescente";"Colisão frontal";0;0;2;0;0;0;0;0;0;0;1;1;0;0;0
"18/09/2024";"07:30:10";"116";"Sem vítima";"579,929";"BR-40/MG";"Decrescente";"Colisão transversal";1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"19/09/2024";"03:40:35";"30";"Sem vítima";"714,400";"BR-40/MG";"Crescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"19/09/2024";"11:42:26";"88";"Com vítima";"614,150";"BR-40/MG";"Crescente";"Colisão lateral no mesmo sentido";0;0;1;1;0;0;0;0;0;0;1;0;1;0;0
"20/09/2024";"04:49:25";"103";"Com vítima";"666,900";"BR-40/MG";"Crescente";"Atropelamento de pedestre";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"21/09/2024";"10:36:09";"49";"Com vítima";"704,100";"BR-40/MG";"Crescente";"Tombamento";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"21/09/2024";"02:58:49";"78";"Sem vítima";"751,300";"BR-40/MG";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"21/09/2024";"08:31:47";"104";"Sem vítima";"594,960";"BR-40/MG";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"22/09/2024";"06:21:05";"30";"Sem vítima";"710,300";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"22/09/2024";"03:27:26";"67";"Com vítima";"602,400";"BR-40/MG";"Decrescente";"Colisão transversal";0;0;0;1;0;0;0;0;0;1;1;0;1;0;0
"23/09/2024";"12:43:25";"84";"Sem vítima";"610,260";"BR-40/MG";"Decrescente";"Colisão lateral no mesmo sentido";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"23/09/2024";"03:53:51";"99";"Com vítima";"733,400";"BR-40/MG";"Crescente";"Atropelamento de pedestre";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"24/09/2024";"06:08:41";"25";"Sem vítima";"735,610";"BR-40/MG";"Crescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"25/09/2024";"04:27:00";"24";"Com vítima";"749,100";"BR-40/MG";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"25/09/2024";"09:01:54";"51";"Sem vítima";"597,250";"BR-40/MG";"Decrescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;12;0;0;0;0
"26/09/2024";"03:36:27";"91";"Com vítima";"619,600";"BR-40/MG";"Crescente";"Colisão transversal";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"26/09/2024";"07:14:02";"120";"Com vítima";"637,650";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;2;0;1
"26/09/2024";"09:17:19";"1";"Sem vítima";"549,950";"BR-40/MG";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"27/09/2024";"12:30:39";"74";"Com vítima";"598,900";"BR-40/MG";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"27/09/2024";"12:41:02";"77";"Com vítima";"555,200";"BR-40/MG";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"27/09/2024";"12:48:01";"79";"Sem vítima";"576,397";"BR-40/MG";"Crescente";"Choque";0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"27/09/2024";"02:58:36";"86";"Sem vítima";"589,669";"BR-40/MG";"Decrescente";"Tombamento";0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"27/09/2024";"04:28:43";"94";"Com vítima";"544,159";"BR-40/MG";"Decrescente";"Colisão lateral no mesmo sentido";1;0;0;1;0;0;0;0;0;0;0;1;1;0;0
"28/09/2024";"05:28:49";"29";"Sem vítima";"631,600";"BR-40/MG";"Crescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"28/09/2024";"06:52:10";"37";"Sem vítima";"671,200";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
